"","log2FoldChange","padj","Factor"
"ko:K00024",-0.891111480848852,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.66973246964751,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00128",-0.229861150785291,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00134",1.517990577738,0.703556991747305,"Menthol_Menthol_vs_Control"
"ko:K00140",0.149731783596345,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00207",0.341225852940424,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.147375721151195,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00249",0.252612498346576,0.950672418391236,"Menthol_Menthol_vs_Control"
"ko:K00262",0.0499003935485617,0.976356109196338,"Menthol_Menthol_vs_Control"
"ko:K00331",0.730534622186209,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.90827422364196,0.483921912586616,"Menthol_Menthol_vs_Control"
"ko:K00338",0.449111969113371,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00357",0.503107083601726,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00411",0.102138716325858,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00413",0.579217993756987,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00456",-0.581100826130965,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00469",0.158295705152566,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00500",0.185945787699612,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00522",-0.737155564501079,0.351623235078282,"Menthol_Menthol_vs_Control"
"ko:K00544",-0.840470356749035,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.58797910868915,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00643",0.288842308211021,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00799",-0.730420613985716,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00814",-0.357533469325826,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00819",0.714515281327163,0.253339230500177,"Menthol_Menthol_vs_Control"
"ko:K00856",-0.142715425956894,0.946535198709933,"Menthol_Menthol_vs_Control"
"ko:K00933",-0.104885110524303,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00939",-0.229641433101121,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K00940",0.114245965328474,0.94863692767565,"Menthol_Menthol_vs_Control"
"ko:K00967",0.349212879853908,0.483921912586616,"Menthol_Menthol_vs_Control"
"ko:K01070",-1.36136717368827,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01206",0.00644427388109104,0.99871897453904,"Menthol_Menthol_vs_Control"
"ko:K01251",1.29777938410072,0.14709996208663,"Menthol_Menthol_vs_Control"
"ko:K01363",0.268720864577182,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01365",-0.0452158853789673,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01379",0.265829521060213,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01551",-0.022779728354584,0.99871897453904,"Menthol_Menthol_vs_Control"
"ko:K01596",0.760694679221275,0.0955661591591325,"Menthol_Menthol_vs_Control"
"ko:K01623",-1.03620225492379,0.187229027367787,"Menthol_Menthol_vs_Control"
"ko:K01681",-0.211934208120355,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01689",0.845894374175042,0.331280565280704,"Menthol_Menthol_vs_Control"
"ko:K01697",0.191240836811187,0.94863692767565,"Menthol_Menthol_vs_Control"
"ko:K01758",0.0867282021110792,0.96828918424963,"Menthol_Menthol_vs_Control"
"ko:K01875",0.378705700538894,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01881",1.06330419198924,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01889",-0.231020773898031,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01890",-0.349626748932701,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01892",-0.817811128004418,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01893",-0.516627512320265,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K01953",-0.570013491686683,0.719910465006596,"Menthol_Menthol_vs_Control"
"ko:K02105",-0.179831550813166,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K02111",-2.17351467269331,0.631285728618993,"Menthol_Menthol_vs_Control"
"ko:K02112",-0.112806400491118,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K02146",-0.658901963792792,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K02149",-0.207658285852997,0.945108018371277,"Menthol_Menthol_vs_Control"
"ko:K02152",0.00209305716144038,0.99871897453904,"Menthol_Menthol_vs_Control"
"ko:K02155",-0.323031530623053,0.945108018371277,"Menthol_Menthol_vs_Control"
