"kegg","sp","trans","qlen","slen","bitscore","length","nident","pident","evalue","ppos","cov","ko"
"aae:aq_1065","O67161","TRINITY_DN9495_c0_g1_i2",1244,342,316,342,172,50.29,4e-103,70.76,0.502923976608187,"ko:K00134"
"aae:aq_484","O66778","TRINITY_DN9573_c0_g1_i1",1574,426,425,434,216,49.77,7e-143,69.35,0.507042253521127,"ko:K01689"
"aae:aq_679","O66907","TRINITY_DN9485_c0_g1_i1",1847,503,612,502,296,58.96,0,77.09,0.588469184890656,"ko:K02111"
"aae:aq_996","O67118","TRINITY_DN8020_c0_g1_i1",2247,632,633,605,329,54.38,0,74.55,0.520569620253165,"ko:K04043"
"aag:5564556","Q1HQU2","TRINITY_DN9453_c0_g1_i1",1110,297,393,272,197,72.43,1e-134,86.03,0.663299663299663,"ko:K02932"
"aag:5564556","Q1HQU2","TRINITY_DN8136_c0_g1_i1",999,297,386,294,209,71.09,2e-132,82.99,0.703703703703704,"ko:K02932"
"aag:5566228","Q1HR24","TRINITY_DN9071_c0_g1_i1",535,151,224,141,123,87.23,3e-73,93.62,0.814569536423841,"ko:K02955"
"aag:5566228","Q1HR24","TRINITY_DN9071_c0_g1_i2",535,151,224,141,123,87.23,3e-73,93.62,0.814569536423841,"ko:K02955"
"aag:5566522","Q1HRT4","TRINITY_DN4420_c0_g1_i1",772,70,112,70,51,72.86,8e-30,92.86,0.728571428571429,"ko:K02923"
"aag:5567314","Q178A5","TRINITY_DN12145_c0_g1_i1",444,169,262,139,117,84.17,1e-88,94.24,0.692307692307692,"ko:K12165"
"aag:5567565","Q03168","TRINITY_DN9627_c0_g1_i1",2081,387,481,373,235,63,4e-163,78.28,0.607235142118863,"ko:K01379"
"aag:5567565","Q03168","TRINITY_DN9627_c0_g1_i2",2101,387,481,373,235,63,5e-163,78.28,0.607235142118863,"ko:K01379"
"aag:5567684","Q176V0","TRINITY_DN19319_c0_g1_i1",339,86,156,83,76,91.57,1e-48,96.39,0.883720930232558,"ko:K12162"
"aag:5568260","Q9GN74","TRINITY_DN6099_c0_g1_i1",424,124,146,110,80,72.73,5e-44,86.36,0.645161290322581,"ko:K02910"
"aag:5568471","Q1HR36","TRINITY_DN8511_c0_g1_i1",1212,248,307,242,154,63.64,3e-101,76.03,0.620967741935484,"ko:K16197"
